year,quarter,market,internal_class,RBA,available_space,availability_proportion,internal_class_rent,overall_rent,direct_available_space,direct_availability_proportion,direct_internal_class_rent,direct_overall_rent,sublet_available_space,sublet_availability_proportion,sublet_internal_class_rent,sublet_overall_rent,leasing
2018,Q1,Atlanta,A,101140416,20239067,0.2001086,27.65589117,24.34568933,NA,NA,NA,NA,NA,NA,NA,NA,1205126
2018,Q1,Atlanta,O,65810449,12728989,0.193418966,18.56088579,24.34568933,NA,NA,NA,NA,NA,NA,NA,NA,715742
2018,Q1,Austin,A,36815073,4281986,0.116310675,40.38470613,36.59661754,NA,NA,NA,NA,NA,NA,NA,NA,1738905
2018,Q1,Austin,O,27947525,3360936,0.121081833,30.11865775,36.59661754,NA,NA,NA,NA,NA,NA,NA,NA,185674
2018,Q1,Baltimore,A,41033288,6813380,0.166045188,27.10483488,22.95403422,NA,NA,NA,NA,NA,NA,NA,NA,380750
2018,Q1,Baltimore,O,40265706,6531089,0.162199789,20.12098958,22.95403422,NA,NA,NA,NA,NA,NA,NA,NA,247089
2018,Q1,Boston,A,133073672,17127987,0.128710561,42.29788036,32.40995594,NA,NA,NA,NA,NA,NA,NA,NA,2285080
2018,Q1,Boston,O,116186937,14486098,0.124679231,20.14772479,32.40995594,NA,NA,NA,NA,NA,NA,NA,NA,934610
2018,Q1,Charlotte,A,35441291,5603221,0.158098671,28.58937012,26.03773488,NA,NA,NA,NA,NA,NA,NA,NA,1130188
2018,Q1,Charlotte,O,27835480,3019728,0.108484855,20.75555803,26.03773488,NA,NA,NA,NA,NA,NA,NA,NA,172401
2018,Q1,Chicago Suburbs,A,54362692,14511067,0.266930619,26.32697279,23.14476563,NA,NA,NA,NA,NA,NA,NA,NA,645808
2018,Q1,Chicago Suburbs,O,46619476,12280805,0.263426492,19.60668623,23.14476563,NA,NA,NA,NA,NA,NA,NA,NA,495329
2018,Q1,Dallas-Ft. Worth,A,121184708,30083227,0.248242765,26.20992978,24.06305745,NA,NA,NA,NA,NA,NA,NA,NA,1818846
2018,Q1,Dallas-Ft. Worth,O,83574408,20321410,0.243153502,20.94064933,24.06305745,NA,NA,NA,NA,NA,NA,NA,NA,1241663
2018,Q1,Denver-Boulder,A,53002807,10646654,0.200869626,30.39352326,27.47713904,NA,NA,NA,NA,NA,NA,NA,NA,1217038
2018,Q1,Denver-Boulder,O,57367634,9809072,0.17098617,24.56343331,27.47713904,NA,NA,NA,NA,NA,NA,NA,NA,865991
2018,Q1,Detroit,A,34423167,6565982,0.190743112,20.99818657,18.74940932,NA,NA,NA,NA,NA,NA,NA,NA,435687
2018,Q1,Detroit,O,47275239,9751490,0.20627056,16.95717082,18.74940932,NA,NA,NA,NA,NA,NA,NA,NA,396490
2018,Q1,Downtown Chicago,A,65660615,10070387,0.153370281,44.87672457,39.94917553,NA,NA,NA,NA,NA,NA,NA,NA,1990909
2018,Q1,Downtown Chicago,O,72516822,11691293,0.161221806,34.91385543,39.94917553,NA,NA,NA,NA,NA,NA,NA,NA,1351932
2018,Q1,Houston,A,113376552,32500251,0.286657606,32.10538116,27.92312355,NA,NA,NA,NA,NA,NA,NA,NA,2103443
2018,Q1,Houston,O,78051358,19007505,0.24361457,21.03082294,27.92312355,NA,NA,NA,NA,NA,NA,NA,NA,968423
2018,Q1,Los Angeles,A,143744668,26495057,0.184320277,39.90170717,36.95899643,NA,NA,NA,NA,NA,NA,NA,NA,2480075
2018,Q1,Los Angeles,O,68338197,14154981,0.207131321,31.90239181,36.95899643,NA,NA,NA,NA,NA,NA,NA,NA,834899
2018,Q1,Nashville,A,21176858,2913652,0.137586605,31.10468415,27.96026249,NA,NA,NA,NA,NA,NA,NA,NA,281340
2018,Q1,Nashville,O,22248695,2329324,0.10469486,24.51921463,27.96026249,NA,NA,NA,NA,NA,NA,NA,NA,216668
2018,Q1,Manhattan,A,244192517,30297130,0.124070673,82.46480145,73.73986415,NA,NA,NA,NA,NA,NA,NA,NA,5131601
2018,Q1,Manhattan,O,199870492,20399536,0.10206377,61.39179778,73.73986415,NA,NA,NA,NA,NA,NA,NA,NA,3789831
