"year","quarter","month","state","unemployment_rate"
2018,"Q1",1,"AZ",4.9
2018,"Q1",1,"CA",4.4
2018,"Q1",1,"CO",2.9
2018,"Q1",1,"DE",4.1
2018,"Q1",1,"DC",5.9
2018,"Q1",1,"FL",3.9
2018,"Q1",1,"GA",4.3
2018,"Q1",1,"IL",4.6
2018,"Q1",1,"MD",4.1
2018,"Q1",1,"MA",3.7
2018,"Q1",1,"MI",4.5
2018,"Q1",1,"NH",2.7
2018,"Q1",1,"NJ",4.4
2018,"Q1",1,"NY",4.5
2018,"Q1",1,"NC",4.2
2018,"Q1",1,"PA",4.8
2018,"Q1",1,"SC",3.9
2018,"Q1",1,"TN",3.5
2018,"Q1",1,"TX",4.1
2018,"Q1",1,"UT",3
2018,"Q1",1,"VA",3.4
2018,"Q1",1,"WA",4.6
2018,"Q1",2,"AZ",4.8
2018,"Q1",2,"CA",4.3
2018,"Q1",2,"CO",2.9
2018,"Q1",2,"DE",4
2018,"Q1",2,"DC",5.8
2018,"Q1",2,"FL",3.9
2018,"Q1",2,"GA",4.2
2018,"Q1",2,"IL",4.5
2018,"Q1",2,"MD",4
2018,"Q1",2,"MA",3.7
2018,"Q1",2,"MI",4.4
2018,"Q1",2,"NH",2.7
2018,"Q1",2,"NJ",4.4
2018,"Q1",2,"NY",4.4
2018,"Q1",2,"NC",4.1
2018,"Q1",2,"PA",4.7
2018,"Q1",2,"SC",3.7
2018,"Q1",2,"TN",3.5
2018,"Q1",2,"TX",4
2018,"Q1",2,"UT",3
2018,"Q1",2,"VA",3.3
2018,"Q1",2,"WA",4.6
2018,"Q1",3,"AZ",4.8
2018,"Q1",3,"CA",4.3
2018,"Q1",3,"CO",2.9
2018,"Q1",3,"DE",3.9
2018,"Q1",3,"DC",5.8
2018,"Q1",3,"FL",3.8
2018,"Q1",3,"GA",4.1
2018,"Q1",3,"IL",4.4
2018,"Q1",3,"MD",4
2018,"Q1",3,"MA",3.6
2018,"Q1",3,"MI",4.3
2018,"Q1",3,"NH",2.7
2018,"Q1",3,"NJ",4.3
2018,"Q1",3,"NY",4.3
2018,"Q1",3,"NC",4
2018,"Q1",3,"PA",4.6
2018,"Q1",3,"SC",3.5
2018,"Q1",3,"TN",3.5
2018,"Q1",3,"TX",4
2018,"Q1",3,"UT",3
2018,"Q1",3,"VA",3.2
2018,"Q1",3,"WA",4.5
2018,"Q2",4,"AZ",4.7
2018,"Q2",4,"CA",4.2
2018,"Q2",4,"CO",3
2018,"Q2",4,"DE",3.8
2018,"Q2",4,"DC",5.8
2018,"Q2",4,"FL",3.8
2018,"Q2",4,"GA",4.1
2018,"Q2",4,"IL",4.3
2018,"Q2",4,"MD",3.9
2018,"Q2",4,"MA",3.6
2018,"Q2",4,"MI",4.1
2018,"Q2",4,"NH",2.7
2018,"Q2",4,"NJ",4.2
2018,"Q2",4,"NY",4.2
2018,"Q2",4,"NC",4
2018,"Q2",4,"PA",4.5
2018,"Q2",4,"SC",3.3
2018,"Q2",4,"TN",3.5
2018,"Q2",4,"TX",4
2018,"Q2",4,"UT",2.9
2018,"Q2",4,"VA",3.1
2018,"Q2",4,"WA",4.4
2018,"Q2",5,"AZ",4.7
2018,"Q2",5,"CA",4.2
2018,"Q2",5,"CO",3
2018,"Q2",5,"DE",3.8
2018,"Q2",5,"DC",5.7
2018,"Q2",5,"FL",3.7
2018,"Q2",5,"GA",4
2018,"Q2",5,"IL",4.3
2018,"Q2",5,"MD",3.8
2018,"Q2",5,"MA",3.5
2018,"Q2",5,"MI",4
2018,"Q2",5,"NH",2.7
2018,"Q2",5,"NJ",4.1
2018,"Q2",5,"NY",4.1
2018,"Q2",5,"NC",3.9
2018,"Q2",5,"PA",4.4
2018,"Q2",5,"SC",3.2
2018,"Q2",5,"TN",3.5
2018,"Q2",5,"TX",3.9
2018,"Q2",5,"UT",2.9
2018,"Q2",5,"VA",2.9
2018,"Q2",5,"WA",4.3
2018,"Q2",6,"AZ",4.7
2018,"Q2",6,"CA",4.2
2018,"Q2",6,"CO",3.1
2018,"Q2",6,"DE",3.7
2018,"Q2",6,"DC",5.6
2018,"Q2",6,"FL",3.6
2018,"Q2",6,"GA",3.9
2018,"Q2",6,"IL",4.2
2018,"Q2",6,"MD",3.8
2018,"Q2",6,"MA",3.5
2018,"Q2",6,"MI",4
2018,"Q2",6,"NH",2.6
2018,"Q2",6,"NJ",4
2018,"Q2",6,"NY",4
2018,"Q2",6,"NC",3.9
2018,"Q2",6,"PA",4.3
2018,"Q2",6,"SC",3.2
2018,"Q2",6,"TN",3.5
2018,"Q2",6,"TX",3.9
2018,"Q2",6,"UT",2.9
2018,"Q2",6,"VA",2.8
2018,"Q2",6,"WA",4.3
2018,"Q3",7,"AZ",4.7
2018,"Q3",7,"CA",4.2
2018,"Q3",7,"CO",3.1
2018,"Q3",7,"DE",3.6
2018,"Q3",7,"DC",5.5
2018,"Q3",7,"FL",3.6
2018,"Q3",7,"GA",3.9
2018,"Q3",7,"IL",4.3
2018,"Q3",7,"MD",3.7
2018,"Q3",7,"MA",3.4
2018,"Q3",7,"MI",4
2018,"Q3",7,"NH",2.6
2018,"Q3",7,"NJ",4
2018,"Q3",7,"NY",3.9
2018,"Q3",7,"NC",3.9
2018,"Q3",7,"PA",4.3
2018,"Q3",7,"SC",3.3
2018,"Q3",7,"TN",3.5
